1 8 0	356.919 0 16 20 16 20 22 23 31
1 8 1	255.164 0 16 20 22 23 31
1 9 0	211.78 0 16 17 25 29 31
1 9 1	110.295 0 16 20 22 30 31
1 10 0	23.5029 0 16 20 22 30 31
1 10 1	102.822 0 8 9 8 9 25 29 31
1 11 0	1194.29 0 16 20 22 30 31
1 11 1	87.941 0 2 3 19 23 31
1 12 0	137.32 0 16 24 25 29 31
1 12 1	215.628 0 16 20 28 30 31
1 13 0	1068.69 0 16 20 22 30 31
1 13 1	280.984 0 16 24 25 29 31
1 14 0	882.873 0 16 20 22 30 31
1 14 1	167.896 0 16 20 22 30 31
1 15 0	1141.62 0 16 24 16 20 22 30 31
1 15 1	236.756 0 16 20 21 23 31
1 16 0	89.9161 0 16 20 22 30 31
1 16 1	130.304 0 16 20 22 30 31
1 17 0	59.6543 0 16 20 22 30 31
1 17 1	46.5932 0 4 20 22 23 31
1 18 0	428.745 0 16 20 21 23 31
1 18 1	174.275 0 16 20 22 23 31
1 19 0	37.5071 0 16 20 22 30 31
1 19 1	93.2894 0 16 20 22 30 31
2 0 0	42.3544 0 16 20 21 29 31
2 0 1	84.5902 0 16 20 28 29 31
2 1 0	72.0112 0 8 9 13 5 21 29 31
2 1 1	54.4752 0 4 20 22 30 31
2 2 0	29.7106 0 16 20 22 30 31
2 2 1	143.878 0 16 24 25 27 31
2 3 0	67.9093 0 8 9 25 29 31
2 3 1	101.327 0 16 17 21 29 31
2 4 0	25.7549 0 8 24 25 29 31
2 4 1	74.4539 0 16 20 21 29 31
2 5 0	55.3072 0 16 24 28 29 31
2 5 1	71.7134 0 16 20 22 30 31
2 6 0	77.1517 0 4 20 21 29 31
2 6 1	125.418 0 8 9 25 27 31
2 7 0	67.2843 0 16 17 21 29 31
2 7 1	51.5503 0 16 17 21 29 31
2 8 0	90.9454 0 16 17 21 29 31
2 8 1	106.321 0 8 9 25 27 31
2 9 0	112.507 0 16 20 21 29 31
2 9 1	113.246 0 16 20 28 30 31
2 10 0	42.8192 0 16 20 21 29 31
2 10 1	82.764 0 16 24 28 30 31
2 11 0	93.5805 0 16 20 21 29 31
2 11 1	84.1455 0 16 20 21 29 31
2 12 0	18.9471 0 8 9 25 29 31
2 12 1	187.938 0 16 24 25 29 31
2 13 0	115.192 0 16 17 21 29 31
2 13 1	142.965 0 4 20 21 5 21 29 31
2 14 0	115.724 0 16 20 21 29 31
2 14 1	151.498 0 16 20 21 29 31
2 15 0	51.5354 0 16 20 21 29 31
2 15 1	49.6898 0 4 20 21 29 31
2 16 0	158.089 0 16 20 21 29 31
2 16 1	131.425 0 4 20 16 0 16 20 28 30 31
2 17 0	75.7165 0 16 20 21 29 31
2 17 1	93.871 0 16 20 21 29 31
2 18 0	124.623 0 16 20 21 29 31
2 18 1	54.6568 0 4 20 28 29 31
2 19 0	36.6724 0 8 9 25 27 31
2 19 1	91.1645 0 16 20 22 30 31
3 0 0	151.418 0 16 20 22 30 31
3 0 1	196.785 0 16 17 25 27 31
3 1 0	64.6142 0 16 20 22 30 31
3 1 1	103.171 0 16 18 22 30 31
3 2 0	29.3968 0 2 6 22 30 31
3 2 1	160.304 0 16 20 22 30 31
3 3 0	167.04 0 16 17 25 27 31
3 3 1	213.403 0 2 6 22 30 31
3 4 0	72.2591 0 16 20 22 23 31
3 4 1	136.086 0 16 18 22 30 31
3 5 0	114.127 0 16 20 22 30 31
3 5 1	287.891 0 16 0 16 20 22 30 31
3 6 0	85.2079 0 16 18 22 30 31
3 6 1	149.22 0 16 17 16 20 22 30 31
3 7 0	94.3393 0 16 20 22 30 31
3 7 1	59.7568 0 2 18 22 30 31
3 8 0	206.289 0 16 20 22 30 31
3 8 1	72.4113 0 16 18 22 30 31
3 9 0	57.0535 0 16 18 26 30 31
3 9 1	126.552 0 16 17 25 27 31
3 10 0	116.645 0 16 18 22 30 31
3 10 1	50.7455 0 16 17 25 29 31
3 11 0	90.1505 0 16 20 22 30 31
3 11 1	418.201 0 16 18 16 20 22 30 31
3 12 0	87.0076 0 16 20 22 30 31
3 12 1	71.4959 0 16 18 22 30 31
3 13 0	81.7849 0 16 20 22 23 31
3 13 1	98.0859 0 2 6 22 23 31
3 14 0	51.7356 0 16 18 26 30 31
3 14 1	70.5154 0 2 6 22 30 31
3 15 0	115.811 0 16 17 16 17 21 23 31
3 15 1	106.886 0 16 20 22 23 31
3 16 0	44.3397 0 16 17 25 27 31
3 16 1	106.544 0 2 6 22 23 31
3 17 0	36.0372 0 16 20 22 30 31
3 17 1	93.4142 0 16 18 22 20 22 30 31
3 18 0	87.7961 0 16 18 22 30 31
3 18 1	99.483 0 2 18 22 23 31
3 19 0	105.042 0 16 20 22 30 31
3 19 1	88.0983 0 2 6 22 30 31
4 0 0	71.6102 0 8 24 28 30 31
4 0 1	148.761 0 16 24 28 30 31
4 1 0	31.4015 0 8 12 28 30 31
4 1 1	192.177 0 4 20 28 30 31
4 2 0	101.311 0 1 5 4 20 22 30 31
4 2 1	150.43 0 4 5 7 15 31
4 3 0	534.783 0 8 24 28 30 31
4 3 1	181.971 0 8 12 28 30 31
4 4 0	44.7653 0 4 20 22 30 31
4 4 1	77.3993 0 1 9 11 3 11 27 31
4 5 0	936.874 0 8 12 28 30 31
4 5 1	105.583 0 4 20 22 30 31
4 6 0	825.169 0 8 12 28 30 31
4 6 1	47.1571 0 1 9 25 27 31
4 7 0	277.997 0 8 12 28 30 31
4 7 1	277.594 0 8 12 28 30 31
4 8 0	822.353 0 8 12 28 30 31
4 8 1	443.616 0 8 12 28 30 31
4 9 0	269.979 0 8 9 25 27 31
4 9 1	87.547 0 16 20 22 30 31
4 10 0	1962.57 0 8 10 8 24 28 30 31
4 10 1	199.354 0 8 10 14 15 31
4 11 0	80.3342 0 8 12 28 29 31
4 11 1	92.7667 0 16 20 22 30 31
4 12 0	741.513 0 8 12 28 30 31
4 12 1	174.855 0 8 10 11 27 31
4 13 0	28.6024 0 16 20 22 30 31
4 13 1	63.2611 0 8 24 8 10 26 27 31
4 14 0	63.1669 0 1 5 7 6 22 30 31
4 14 1	181.562 0 8 12 28 29 31
4 15 0	1565.25 0 8 12 28 30 31
4 15 1	135.015 0 8 10 11 27 31
4 16 0	963.627 0 8 10 11 27 31
4 16 1	127.853 0 16 18 22 30 31
4 17 0	1164.09 0 8 12 28 30 31
4 17 1	73.2082 0 8 24 28 30 31
4 18 0	1664.59 0 8 12 28 30 31
4 18 1	432.649 0 8 12 28 30 31
4 19 0	239.65 0 8 24 28 30 31
4 19 1	150.497 0 8 10 11 27 31
5 0 0	131.22 0 16 18 26 30 31
5 0 1	163.959 0 16 20 28 12 13 29 31
5 1 0	37.659 0 8 12 28 30 31
5 1 1	127.881 0 16 24 25 29 31
5 2 0	82.4761 0 16 20 21 29 31
5 2 1	78.7591 0 4 20 28 30 31
5 3 0	156.836 0 16 18 16 18 26 30 31
5 3 1	88.0789 0 1 17 21 23 31
5 4 0	215.764 0 16 18 16 18 26 30 31
5 4 1	52.2218 0 16 24 28 30 31
